Rank 1000: HP: 1740, STR: 808653, VIT: 1404, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85423, Current HP: 1740, A Avg: 11170371, D Avg: 119592, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 999: HP: 1634, STR: 808653, VIT: 1398, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85326, Current HP: 1634, A Avg: 11170371, D Avg: 119456, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 998: HP: 2216, STR: 808653, VIT: 1626, SPD: 55, LUK: 1, Attack: 1340981, Defense: 86188, Current HP: 2216, A Avg: 11170371, D Avg: 120663, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 997: HP: 2112, STR: 808653, VIT: 1387, SPD: 55, LUK: 1, Attack: 1340981, Defense: 85315, Current HP: 2112, A Avg: 11170371, D Avg: 119440, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 996: HP: 1640, STR: 808653, VIT: 2058, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88846, Current HP: 1640, A Avg: 11170371, D Avg: 124384, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 995: HP: 3477, STR: 808653, VIT: 1313, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87230, Current HP: 3477, A Avg: 11170371, D Avg: 122121, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 994: HP: 2424, STR: 808653, VIT: 1718, SPD: 55, LUK: 1, Attack: 1340981, Defense: 86452, Current HP: 2424, A Avg: 11170371, D Avg: 121032, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 993: HP: 2120, STR: 808653, VIT: 1626, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87101, Current HP: 2120, A Avg: 11170371, D Avg: 121941, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 992: HP: 1748, STR: 808653, VIT: 2053, SPD: 55, LUK: 1, Attack: 1340981, Defense: 87021, Current HP: 1748, A Avg: 11170371, D Avg: 121829, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 991: HP: 1672, STR: 808653, VIT: 2104, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88944, Current HP: 1672, A Avg: 11170371, D Avg: 124521, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 990: HP: 2660, STR: 808653, VIT: 1888, SPD: 55, LUK: 1, Attack: 1340981, Defense: 89313, Current HP: 2660, A Avg: 11170371, D Avg: 125038, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 989: HP: 1558, STR: 808653, VIT: 1253, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88042, Current HP: 1558, A Avg: 11170371, D Avg: 123258, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 988: HP: 1558, STR: 808653, VIT: 2664, SPD: 55, LUK: 1, Attack: 1340981, Defense: 92442, Current HP: 1558, A Avg: 11170371, D Avg: 129418, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 987: HP: 2033, STR: 808653, VIT: 3379, SPD: 55, LUK: 1, Attack: 1340981, Defense: 90167, Current HP: 2033, A Avg: 11170371, D Avg: 126233, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 986: HP: 1843, STR: 808653, VIT: 1838, SPD: 59, LUK: 1, Attack: 1340981, Defense: 87716, Current HP: 1843, A Avg: 11170371, D Avg: 122802, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 985: HP: 2561, STR: 808653, VIT: 1866, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88082, Current HP: 2561, A Avg: 11170371, D Avg: 123314, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 984: HP: 2040, STR: 808653, VIT: 1950, SPD: 55, LUK: 1, Attack: 1340981, Defense: 88985, Current HP: 2040, A Avg: 11170371, D Avg: 124578, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 983: HP: 1640, STR: 808653, VIT: 2099, SPD: 55, LUK: 1, Attack: 1340981, Defense: 89147, Current HP: 1640, A Avg: 11170371, D Avg: 124805, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
