Rank 1000: HP: 4142, STR: 1046285, VIT: 1661, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87578, Current HP: 4142, A Avg: 14139583, D Avg: 122609, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 999: HP: 2984, STR: 1046285, VIT: 2174, SPD: 71, LUK: 1, Attack: 1697429, Defense: 86908, Current HP: 2984, A Avg: 14139583, D Avg: 121671, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 998: HP: 2620, STR: 1046285, VIT: 2062, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87537, Current HP: 2620, A Avg: 14139583, D Avg: 122551, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 997: HP: 2128, STR: 1046285, VIT: 2618, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87586, Current HP: 2128, A Avg: 14139583, D Avg: 122620, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 996: HP: 2052, STR: 1046285, VIT: 2643, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89483, Current HP: 2052, A Avg: 14139583, D Avg: 125276, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 995: HP: 3360, STR: 1046285, VIT: 2407, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89832, Current HP: 3360, A Avg: 14139583, D Avg: 125764, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 994: HP: 1938, STR: 1046285, VIT: 1585, SPD: 71, LUK: 1, Attack: 1697429, Defense: 88374, Current HP: 1938, A Avg: 14139583, D Avg: 123723, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 993: HP: 1938, STR: 1046285, VIT: 3411, SPD: 71, LUK: 1, Attack: 1697429, Defense: 93189, Current HP: 1938, A Avg: 14139583, D Avg: 130464, [Impulse[166, 630, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 992: HP: 2413, STR: 1046285, VIT: 4271, SPD: 71, LUK: 1, Attack: 1697429, Defense: 91059, Current HP: 2413, A Avg: 14139583, D Avg: 127482, [Impulse[166, 630, 630, 630], Golem Shield[245, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 991: HP: 2223, STR: 1046285, VIT: 2336, SPD: 76, LUK: 1, Attack: 1697429, Defense: 88214, Current HP: 2223, A Avg: 14139583, D Avg: 123499, [Impulse[166, 630, 630, 630], Sticky thread shield[247, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 990: HP: 3169, STR: 1046285, VIT: 2344, SPD: 71, LUK: 1, Attack: 1697429, Defense: 88560, Current HP: 3169, A Avg: 14139583, D Avg: 123983, [Impulse[166, 630, 630, 630], King Shield[248, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 989: HP: 2440, STR: 1046285, VIT: 2365, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89400, Current HP: 2440, A Avg: 14139583, D Avg: 125159, [Impulse[166, 630, 630, 630], Warrior's Shield[249, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 988: HP: 2040, STR: 1046285, VIT: 2680, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89728, Current HP: 2040, A Avg: 14139583, D Avg: 125619, [Impulse[166, 630, 630, 630], Ghost shield[251, 630, 630, 630], Mobius Ring[316, 630, 630, 68]]
Rank 987: HP: 2040, STR: 1046285, VIT: 1585, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85308, Current HP: 2040, A Avg: 14139583, D Avg: 119431, [Impulse[166, 630, 630, 630], Pot Lid[201, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 986: HP: 2040, STR: 1046285, VIT: 1585, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85318, Current HP: 2040, A Avg: 14139583, D Avg: 119445, [Impulse[166, 630, 630, 630], High Pot Lid[202, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 985: HP: 1938, STR: 1046285, VIT: 1672, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85541, Current HP: 1938, A Avg: 14139583, D Avg: 119757, [Impulse[166, 630, 630, 630], Wooden Shield[203, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 984: HP: 1938, STR: 1046285, VIT: 1679, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85483, Current HP: 1938, A Avg: 14139583, D Avg: 119676, [Impulse[166, 630, 630, 630], Iron Shield[204, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 983: HP: 1938, STR: 1046285, VIT: 1757, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85620, Current HP: 1938, A Avg: 14139583, D Avg: 119867, [Impulse[166, 630, 630, 630], Titanium Shield[205, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 982: HP: 1938, STR: 1046285, VIT: 1779, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85668, Current HP: 1938, A Avg: 14139583, D Avg: 119935, [Impulse[166, 630, 630, 630], Large iron Shield[206, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 981: HP: 2040, STR: 1046285, VIT: 1778, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85654, Current HP: 2040, A Avg: 14139583, D Avg: 119915, [Impulse[166, 630, 630, 630], Magic Shield[207, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 980: HP: 2375, STR: 1046285, VIT: 1948, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85785, Current HP: 2375, A Avg: 14139583, D Avg: 120098, [Impulse[166, 630, 630, 630], Emerald Shield[209, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 979: HP: 2100, STR: 1046285, VIT: 1686, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85458, Current HP: 2100, A Avg: 14139583, D Avg: 119641, [Impulse[166, 630, 630, 630], Clear Shield[211, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 978: HP: 2140, STR: 1046285, VIT: 1778, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85797, Current HP: 2140, A Avg: 14139583, D Avg: 120115, [Impulse[166, 630, 630, 630], Prism Shield[212, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 977: HP: 2014, STR: 1046285, VIT: 1768, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85696, Current HP: 2014, A Avg: 14139583, D Avg: 119974, [Impulse[166, 630, 630, 630], Tower Shield[213, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 976: HP: 2756, STR: 1046285, VIT: 2062, SPD: 71, LUK: 1, Attack: 1697429, Defense: 86624, Current HP: 2756, A Avg: 14139583, D Avg: 121273, [Impulse[166, 630, 630, 630], Slime Shield[221, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 975: HP: 2644, STR: 1046285, VIT: 1757, SPD: 71, LUK: 1, Attack: 1697429, Defense: 85685, Current HP: 2644, A Avg: 14139583, D Avg: 119958, [Impulse[166, 630, 630, 630], Hardwood Shield[223, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 974: HP: 2040, STR: 1046285, VIT: 2535, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89323, Current HP: 2040, A Avg: 14139583, D Avg: 125052, [Impulse[166, 630, 630, 630], Energy Shield[227, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 973: HP: 4142, STR: 1046285, VIT: 1661, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87578, Current HP: 4142, A Avg: 14139583, D Avg: 122609, [Impulse[166, 630, 630, 630], Frying Pan[231, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 972: HP: 2984, STR: 1046285, VIT: 2174, SPD: 71, LUK: 1, Attack: 1697429, Defense: 86908, Current HP: 2984, A Avg: 14139583, D Avg: 121671, [Impulse[166, 630, 630, 630], Slafield[232, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 971: HP: 2620, STR: 1046285, VIT: 2062, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87537, Current HP: 2620, A Avg: 14139583, D Avg: 122551, [Impulse[166, 630, 630, 630], Mist Shield[233, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 970: HP: 2128, STR: 1046285, VIT: 2618, SPD: 71, LUK: 1, Attack: 1697429, Defense: 87586, Current HP: 2128, A Avg: 14139583, D Avg: 122620, [Impulse[166, 630, 630, 630], Huge Shield[234, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 969: HP: 2052, STR: 1046285, VIT: 2643, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89483, Current HP: 2052, A Avg: 14139583, D Avg: 125276, [Impulse[166, 630, 630, 630], Aurora Shield[240, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 968: HP: 3360, STR: 1046285, VIT: 2407, SPD: 71, LUK: 1, Attack: 1697429, Defense: 89832, Current HP: 3360, A Avg: 14139583, D Avg: 125764, [Impulse[166, 630, 630, 630], Cloud Shield[241, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
Rank 967: HP: 1938, STR: 1046285, VIT: 1585, SPD: 71, LUK: 1, Attack: 1697429, Defense: 88374, Current HP: 1938, A Avg: 14139583, D Avg: 123723, [Impulse[166, 630, 630, 630], Graffiti[243, 630, 630, 630], Mobius Ring[316, 630, 630, 803]]
