str,en_US,ja_JP,zh_CN,ko,zh_TW,es,th,pt,de,fr
探索先選択,Select destination,探索先選択,选择目的地,목적지 선택,選擇探索地點,Seleccionar destino,เลือกจุดหมาย,Selecionar destino,Ziel auswählen,Sélectionner la destination
ダンジョン,Dungeon,ダンジョン,迷宫,던전,迷宮,Calabozo,ดันเจี้ยน,Masmorra,Dungeon,Donjon
targetFloor,Target floor,目的階,目标层,목표 층,目標樓層,Piso objetivo,ชั้นเป้าหมาย,Andar alvo,Zielebene,Étage cible
帰還時刻,Return time,帰還時刻,返回时间,귀환 시각,返回時間,Hora de retorno,เวลาที่กลับมา,Hora de retorno,Rückkehrzeit,Heure de retour
階,F,階,层,층,層,P,ชั้น,F,F,e
日,d,日,天,일,天,día,วัน,dia,d,j
時間,h,時間,小时,시간,小時,h,ชั่วโมง,h,h,h
分,min,分,分,분,分,min,นาที,min,min,min
あとhhmm,Remaining {hhmm},あと{hhmm},剩余{hhmm},남은 시간 {hhmm},剩餘{hhmm},Quedan {hhmm},เหลืออีก {hhmm},Faltam {hhmm},Verbleibend {hhmm},Restant {hhmm}
冒険に出す,Go to dungeon,冒険に出す,开始冒险,모험을 보낸다,開始冒險,Ir al calabozo,ไปที่ดันเจี้ยน,Ir para a masmorra,In den Dungeon schicken,Aller au donjon
言語,Language,言語,语言,언어,語言,Idioma,ภาษา,Idioma,Sprache,Langue
次へ,Continue,次へ,继续,다음으로,繼續,Continuar,ถัดไป,Continuar,Weiter,Continuer
データバックアップ／復元,Data backup / restore,データバックアップ／復元,数据备份/恢复,데이터 백업/복원,資料備份／復原,Copia de seguridad / restaurar datos,การสำรองข้อมูล / การคืนค่า,Backup / restaurar dados,Daten-Backup / Wiederherstellung,Sauvegarde / restauration des données
機種変更の手順,Model change procedure,機種変更の手順,更换设备的步骤,기기변경 절차,更改設備的順序,Procedimiento de cambio de modelo,ขั้นตอนการเปลี่ยนรุ่น,Procedimento de troca de modelo,Verfahren zum Gerätemodellwechsel,Procédure de changement de modèle
