Rank 107639: 106640 - [000, 107639, 000] - HP: 133, STR: 504, VIT: 65, SPD: 2, LUK: 1, Attack: 132248, Defense: 83902, Current HP: 133, A Avg: 1101625, D Avg: 117462, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107639: 106641 - [000, 107639, 000] - HP: 76, STR: 1146, VIT: 21, SPD: 1, LUK: 1, Attack: 133211, Defense: 83858, Current HP: 76, A Avg: 1109647, D Avg: 117401, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107639: 106642 - [000, 107639, 000] - HP: 80, STR: 864, VIT: 136, SPD: 1, LUK: 1, Attack: 132788, Defense: 83973, Current HP: 80, A Avg: 1106124, D Avg: 117562, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107639: 106643 - [000, 107639, 000] - HP: 171, STR: 712, VIT: 65, SPD: 1, LUK: 1, Attack: 132560, Defense: 83902, Current HP: 171, A Avg: 1104224, D Avg: 117462, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107639: 106644 - [000, 107639, 000] - HP: 76, STR: 503, VIT: 21, SPD: 1, LUK: 2, Attack: 132246, Defense: 83858, Current HP: 76, A Avg: 1101609, D Avg: 117401, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107639: 106645 - [000, 107639, 000] - HP: 293, STR: 598, VIT: 236, SPD: 1, LUK: 1, Attack: 132389, Defense: 84073, Current HP: 293, A Avg: 1102800, D Avg: 117702, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107639: 106646 - [000, 107639, 000] - HP: 304, STR: 860, VIT: 21, SPD: 1, LUK: 1, Attack: 132782, Defense: 83858, Current HP: 304, A Avg: 1106074, D Avg: 117401, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107639: 106647 - [000, 107639, 000] - HP: 266, STR: 837, VIT: 349, SPD: 1, LUK: 1, Attack: 132747, Defense: 84186, Current HP: 266, A Avg: 1105782, D Avg: 117860, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107639: 106648 - [000, 107639, 000] - HP: 198, STR: 461, VIT: 63, SPD: 1, LUK: 1, Attack: 132183, Defense: 83900, Current HP: 198, A Avg: 1101084, D Avg: 117459, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107639: 106649 - [000, 107639, 000] - HP: 171, STR: 712, VIT: 65, SPD: 1, LUK: 1, Attack: 132560, Defense: 83902, Current HP: 171, A Avg: 1104224, D Avg: 117462, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107639: 106650 - [000, 107639, 000] - HP: 76, STR: 650, VIT: 21, SPD: 1, LUK: 1, Attack: 132467, Defense: 83858, Current HP: 76, A Avg: 1103450, D Avg: 117401, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107639: 106651 - [000, 107639, 000] - HP: 85, STR: 462, VIT: 46, SPD: 1, LUK: 1, Attack: 132185, Defense: 84052, Current HP: 85, A Avg: 1101101, D Avg: 117672, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107639: 106652 - [000, 107639, 000] - HP: 76, STR: 473, VIT: 46, SPD: 1, LUK: 1, Attack: 132201, Defense: 84052, Current HP: 76, A Avg: 1101234, D Avg: 117672, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107639: 106653 - [000, 107639, 000] - HP: 116, STR: 462, VIT: 41, SPD: 1, LUK: 1, Attack: 132185, Defense: 84047, Current HP: 116, A Avg: 1101101, D Avg: 117665, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107639: 106654 - [000, 107639, 000] - HP: 114, STR: 462, VIT: 41, SPD: 2, LUK: 1, Attack: 132185, Defense: 84047, Current HP: 114, A Avg: 1101101, D Avg: 117665, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107639: 106655 - [000, 107639, 000] - HP: 95, STR: 588, VIT: 51, SPD: 2, LUK: 1, Attack: 132374, Defense: 84057, Current HP: 95, A Avg: 1102675, D Avg: 117679, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107639: 106656 - [000, 107639, 000] - HP: 76, STR: 473, VIT: 76, SPD: 1, LUK: 1, Attack: 132201, Defense: 84082, Current HP: 76, A Avg: 1101234, D Avg: 117714, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107639: 106657 - [000, 107639, 000] - HP: 95, STR: 484, VIT: 51, SPD: 1, LUK: 2, Attack: 132218, Defense: 84057, Current HP: 95, A Avg: 1101375, D Avg: 117679, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107639: 106658 - [000, 107639, 000] - HP: 76, STR: 736, VIT: 51, SPD: 1, LUK: 1, Attack: 132596, Defense: 84057, Current HP: 76, A Avg: 1104524, D Avg: 117679, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107639: 106659 - [000, 107639, 000] - HP: 261, STR: 473, VIT: 62, SPD: 1, LUK: 1, Attack: 132201, Defense: 84068, Current HP: 261, A Avg: 1101234, D Avg: 117695, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107639: 106660 - [000, 107639, 000] - HP: 159, STR: 528, VIT: 41, SPD: 1, LUK: 1, Attack: 132284, Defense: 84047, Current HP: 159, A Avg: 1101925, D Avg: 117665, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107639: 106661 - [000, 107639, 000] - HP: 308, STR: 462, VIT: 76, SPD: 1, LUK: 1, Attack: 132185, Defense: 84082, Current HP: 308, A Avg: 1101101, D Avg: 117714, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107639: 106662 - [000, 107639, 000] - HP: 220, STR: 528, VIT: 31, SPD: 1, LUK: 2, Attack: 132284, Defense: 84037, Current HP: 220, A Avg: 1101925, D Avg: 117651, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107639: 106663 - [000, 107639, 000] - HP: 133, STR: 525, VIT: 72, SPD: 2, LUK: 1, Attack: 132279, Defense: 84078, Current HP: 133, A Avg: 1101884, D Avg: 117709, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107639: 106664 - [000, 107639, 000] - HP: 76, STR: 1178, VIT: 31, SPD: 1, LUK: 1, Attack: 133259, Defense: 84037, Current HP: 76, A Avg: 1110047, D Avg: 117651, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107639: 106665 - [000, 107639, 000] - HP: 80, STR: 891, VIT: 141, SPD: 1, LUK: 1, Attack: 132828, Defense: 84147, Current HP: 80, A Avg: 1106457, D Avg: 117805, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107639: 106666 - [000, 107639, 000] - HP: 171, STR: 736, VIT: 72, SPD: 1, LUK: 1, Attack: 132596, Defense: 84078, Current HP: 171, A Avg: 1104524, D Avg: 117709, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107639: 106667 - [000, 107639, 000] - HP: 76, STR: 528, VIT: 31, SPD: 1, LUK: 2, Attack: 132284, Defense: 84037, Current HP: 76, A Avg: 1101925, D Avg: 117651, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107639: 106668 - [000, 107639, 000] - HP: 293, STR: 624, VIT: 245, SPD: 1, LUK: 1, Attack: 132428, Defense: 84251, Current HP: 293, A Avg: 1103125, D Avg: 117951, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107639: 106669 - [000, 107639, 000] - HP: 304, STR: 882, VIT: 31, SPD: 1, LUK: 1, Attack: 132815, Defense: 84037, Current HP: 304, A Avg: 1106348, D Avg: 117651, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
