Rank 108413: 82335 - [387, 107252, 000] - HP: 650, STR: 267, VIT: 821, SPD: 27, LUK: 1, Attack: 132651, Defense: 90599, Current HP: 650, A Avg: 1104982, D Avg: 126838, [Basic[169, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 108413: 83531 - [387, 107252, 000] - HP: 818, STR: 217, VIT: 787, SPD: 27, LUK: 1, Attack: 127777, Defense: 90565, Current HP: 818, A Avg: 1064382, D Avg: 126790, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 108413: 84717 - [387, 107252, 000] - HP: 1508, STR: 60, VIT: 661, SPD: 23, LUK: 1, Attack: 138370, Defense: 90439, Current HP: 1508, A Avg: 1152622, D Avg: 126614, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 108413: 84723 - [387, 107252, 000] - HP: 940, STR: 268, VIT: 769, SPD: 25, LUK: 1, Attack: 138682, Defense: 90547, Current HP: 940, A Avg: 1155221, D Avg: 126765, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 108413: 84727 - [387, 107252, 000] - HP: 1238, STR: 217, VIT: 787, SPD: 27, LUK: 1, Attack: 138605, Defense: 90565, Current HP: 1238, A Avg: 1154579, D Avg: 126790, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 108413: 85907 - [387, 107252, 000] - HP: 1073, STR: 1948, VIT: 724, SPD: 23, LUK: 1, Attack: 137785, Defense: 90502, Current HP: 1073, A Avg: 1147749, D Avg: 126702, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 108413: 85913 - [387, 107252, 000] - HP: 1218, STR: 1959, VIT: 744, SPD: 23, LUK: 1, Attack: 137802, Defense: 90522, Current HP: 1218, A Avg: 1147890, D Avg: 126730, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 108413: 85914 - [387, 107252, 000] - HP: 1215, STR: 2011, VIT: 724, SPD: 23, LUK: 1, Attack: 137880, Defense: 90502, Current HP: 1215, A Avg: 1148540, D Avg: 126702, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 108413: 85919 - [387, 107252, 000] - HP: 740, STR: 3161, VIT: 856, SPD: 25, LUK: 1, Attack: 139605, Defense: 90634, Current HP: 740, A Avg: 1162909, D Avg: 126887, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 108413: 85920 - [387, 107252, 000] - HP: 798, STR: 2938, VIT: 813, SPD: 23, LUK: 1, Attack: 139270, Defense: 90591, Current HP: 798, A Avg: 1160119, D Avg: 126827, [Spectral Sword Shigure[172, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 108413: 88300 - [387, 107252, 000] - HP: 1957, STR: 50, VIT: 641, SPD: 43, LUK: 1, Attack: 127655, Defense: 90419, Current HP: 1957, A Avg: 1063366, D Avg: 126586, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 108413: 88301 - [387, 107252, 000] - HP: 1938, STR: 50, VIT: 651, SPD: 38, LUK: 1, Attack: 127655, Defense: 90429, Current HP: 1938, A Avg: 1063366, D Avg: 126600, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 108413: 88303 - [387, 107252, 000] - HP: 1938, STR: 81, VIT: 651, SPD: 23, LUK: 2, Attack: 127702, Defense: 90429, Current HP: 1938, A Avg: 1063757, D Avg: 126600, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 108413: 88304 - [387, 107252, 000] - HP: 1919, STR: 136, VIT: 651, SPD: 23, LUK: 1, Attack: 127784, Defense: 90429, Current HP: 1919, A Avg: 1064440, D Avg: 126600, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 108413: 88309 - [387, 107252, 000] - HP: 1976, STR: 50, VIT: 672, SPD: 38, LUK: 1, Attack: 127655, Defense: 90450, Current HP: 1976, A Avg: 1063366, D Avg: 126629, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 108413: 88310 - [387, 107252, 000] - HP: 1919, STR: 384, VIT: 630, SPD: 23, LUK: 1, Attack: 128156, Defense: 90408, Current HP: 1919, A Avg: 1067539, D Avg: 126571, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 108413: 88313 - [387, 107252, 000] - HP: 1919, STR: 303, VIT: 630, SPD: 23, LUK: 2, Attack: 128035, Defense: 90408, Current HP: 1919, A Avg: 1066531, D Avg: 126571, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 108413: 88318 - [387, 107252, 000] - HP: 2014, STR: 136, VIT: 672, SPD: 23, LUK: 1, Attack: 127784, Defense: 90450, Current HP: 2014, A Avg: 1064440, D Avg: 126629, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 108413: 91893 - [387, 107252, 000] - HP: 1508, STR: 107, VIT: 661, SPD: 23, LUK: 1, Attack: 129523, Defense: 90439, Current HP: 1508, A Avg: 1078926, D Avg: 126614, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 108413: 91899 - [387, 107252, 000] - HP: 940, STR: 268, VIT: 769, SPD: 25, LUK: 1, Attack: 129765, Defense: 90547, Current HP: 940, A Avg: 1080942, D Avg: 126765, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 108413: 91903 - [387, 107252, 000] - HP: 1238, STR: 217, VIT: 787, SPD: 27, LUK: 1, Attack: 129688, Defense: 90565, Current HP: 1238, A Avg: 1080301, D Avg: 126790, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 108413: 94290 - [387, 107252, 000] - HP: 551, STR: 1252, VIT: 921, SPD: 23, LUK: 1, Attack: 130695, Defense: 90699, Current HP: 551, A Avg: 1088689, D Avg: 126978, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 108413: 94293 - [387, 107252, 000] - HP: 551, STR: 760, VIT: 921, SPD: 23, LUK: 2, Attack: 129957, Defense: 90699, Current HP: 551, A Avg: 1082541, D Avg: 126978, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 108413: 95475 - [387, 107252, 000] - HP: 493, STR: 1079, VIT: 873, SPD: 23, LUK: 1, Attack: 130435, Defense: 90651, Current HP: 493, A Avg: 1086523, D Avg: 126911, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 108413: 95476 - [387, 107252, 000] - HP: 361, STR: 1079, VIT: 873, SPD: 43, LUK: 1, Attack: 130435, Defense: 90651, Current HP: 361, A Avg: 1086523, D Avg: 126911, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 108413: 95477 - [387, 107252, 000] - HP: 342, STR: 1387, VIT: 883, SPD: 38, LUK: 1, Attack: 130897, Defense: 90661, Current HP: 342, A Avg: 1090372, D Avg: 126925, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 108413: 95479 - [387, 107252, 000] - HP: 342, STR: 1100, VIT: 883, SPD: 23, LUK: 2, Attack: 130467, Defense: 90661, Current HP: 342, A Avg: 1086790, D Avg: 126925, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 108413: 95480 - [387, 107252, 000] - HP: 323, STR: 1655, VIT: 883, SPD: 23, LUK: 1, Attack: 131299, Defense: 90661, Current HP: 323, A Avg: 1093720, D Avg: 126925, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 108413: 95481 - [387, 107252, 000] - HP: 638, STR: 1089, VIT: 894, SPD: 23, LUK: 1, Attack: 130450, Defense: 90672, Current HP: 638, A Avg: 1086648, D Avg: 126940, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 108413: 95482 - [387, 107252, 000] - HP: 575, STR: 1142, VIT: 873, SPD: 23, LUK: 1, Attack: 130530, Defense: 90651, Current HP: 575, A Avg: 1087314, D Avg: 126911, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 108413: 95484 - [387, 107252, 000] - HP: 506, STR: 1142, VIT: 863, SPD: 23, LUK: 2, Attack: 130530, Defense: 90641, Current HP: 506, A Avg: 1087314, D Avg: 126897, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 108413: 95485 - [387, 107252, 000] - HP: 380, STR: 1233, VIT: 904, SPD: 38, LUK: 1, Attack: 130666, Defense: 90682, Current HP: 380, A Avg: 1088447, D Avg: 126954, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 108413: 95486 - [387, 107252, 000] - HP: 323, STR: 2271, VIT: 863, SPD: 23, LUK: 1, Attack: 132223, Defense: 90641, Current HP: 323, A Avg: 1101417, D Avg: 126897, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 108413: 95489 - [387, 107252, 000] - HP: 323, STR: 1201, VIT: 863, SPD: 23, LUK: 2, Attack: 130618, Defense: 90641, Current HP: 323, A Avg: 1088047, D Avg: 126897, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 108413: 95494 - [387, 107252, 000] - HP: 418, STR: 1655, VIT: 904, SPD: 23, LUK: 1, Attack: 131299, Defense: 90682, Current HP: 418, A Avg: 1093720, D Avg: 126954, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 108413: 99025 - [387, 107252, 000] - HP: 2530, STR: 1342, VIT: 2767, SPD: 23, LUK: 1, Attack: 133755, Defense: 90335, Current HP: 2530, A Avg: 1114179, D Avg: 126468, [Stargazer[183, 0, 0, 0], Storm Wall[242, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 108413: 99035 - [387, 107252, 000] - HP: 2420, STR: 1394, VIT: 2810, SPD: 23, LUK: 1, Attack: 133833, Defense: 90378, Current HP: 2420, A Avg: 1114828, D Avg: 126529, [Stargazer[183, 0, 0, 0], Storm Wall[242, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 108413: 100270 - [387, 107252, 000] - HP: 513, STR: 2556, VIT: 921, SPD: 23, LUK: 1, Attack: 132144, Defense: 90699, Current HP: 513, A Avg: 1100759, D Avg: 126978, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 108413: 100273 - [387, 107252, 000] - HP: 513, STR: 1054, VIT: 921, SPD: 23, LUK: 2, Attack: 129891, Defense: 90699, Current HP: 513, A Avg: 1081992, D Avg: 126978, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
