Rank 1000: HP: 855, STR: 105, VIT: 100, SPD: 7, LUK: 1, Attack: 138437, Defense: 83937, Current HP: 855, A Avg: 1153180, D Avg: 117511, [Big Bang[171, 0, 0, 0], Emerald Shield[209, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 999: HP: 800, STR: 105, VIT: 68, SPD: 7, LUK: 1, Attack: 138437, Defense: 83840, Current HP: 800, A Avg: 1153180, D Avg: 117375, [Big Bang[171, 0, 0, 0], Clear Shield[211, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 998: HP: 900, STR: 105, VIT: 105, SPD: 7, LUK: 1, Attack: 138437, Defense: 83877, Current HP: 900, A Avg: 1153180, D Avg: 117427, [Big Bang[171, 0, 0, 0], Clear Shield[211, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 997: HP: 900, STR: 105, VIT: 89, SPD: 7, LUK: 1, Attack: 138437, Defense: 83861, Current HP: 900, A Avg: 1153180, D Avg: 117405, [Big Bang[171, 0, 0, 0], Clear Shield[211, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 996: HP: 840, STR: 105, VIT: 76, SPD: 7, LUK: 1, Attack: 138437, Defense: 84095, Current HP: 840, A Avg: 1153180, D Avg: 117732, [Big Bang[171, 0, 0, 0], Prism Shield[212, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 995: HP: 940, STR: 105, VIT: 114, SPD: 7, LUK: 1, Attack: 138437, Defense: 84133, Current HP: 940, A Avg: 1153180, D Avg: 117786, [Big Bang[171, 0, 0, 0], Prism Shield[212, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 994: HP: 940, STR: 105, VIT: 97, SPD: 7, LUK: 1, Attack: 138437, Defense: 84116, Current HP: 940, A Avg: 1153180, D Avg: 117762, [Big Bang[171, 0, 0, 0], Prism Shield[212, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 993: HP: 779, STR: 105, VIT: 71, SPD: 7, LUK: 1, Attack: 138437, Defense: 83999, Current HP: 779, A Avg: 1153180, D Avg: 117598, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 992: HP: 874, STR: 105, VIT: 110, SPD: 7, LUK: 1, Attack: 138437, Defense: 84038, Current HP: 874, A Avg: 1153180, D Avg: 117653, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 991: HP: 874, STR: 105, VIT: 93, SPD: 7, LUK: 1, Attack: 138437, Defense: 84021, Current HP: 874, A Avg: 1153180, D Avg: 117629, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 990: HP: 896, STR: 105, VIT: 112, SPD: 7, LUK: 1, Attack: 138437, Defense: 84674, Current HP: 896, A Avg: 1153180, D Avg: 118543, [Big Bang[171, 0, 0, 0], Slime Shield[221, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
