Rank 1000: HP: 1680, STR: 365, VIT: 441, SPD: 51, LUK: 1, Attack: 138827, Defense: 86553, Current HP: 1680, A Avg: 1156428, D Avg: 121174, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 999: HP: 2139, STR: 365, VIT: 654, SPD: 31, LUK: 1, Attack: 138827, Defense: 86766, Current HP: 2139, A Avg: 1156428, D Avg: 121472, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 998: HP: 1720, STR: 365, VIT: 462, SPD: 51, LUK: 1, Attack: 138827, Defense: 86574, Current HP: 1720, A Avg: 1156428, D Avg: 121203, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 997: HP: 1520, STR: 4892, VIT: 513, SPD: 34, LUK: 1, Attack: 138830, Defense: 87301, Current HP: 1520, A Avg: 1156453, D Avg: 122221, [Neural Edge[190, 0, 0, 0], C Magnum[239, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 996: HP: 1045, STR: 367, VIT: 379, SPD: 31, LUK: 2, Attack: 138830, Defense: 84970, Current HP: 1045, A Avg: 1156453, D Avg: 118957, [Big Bang[171, 0, 0, 0], Black Hole[229, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 995: HP: 1558, STR: 367, VIT: 645, SPD: 31, LUK: 1, Attack: 138830, Defense: 84651, Current HP: 1558, A Avg: 1156453, D Avg: 118511, [Big Bang[171, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 994: HP: 1539, STR: 367, VIT: 3434, SPD: 31, LUK: 1, Attack: 138830, Defense: 89104, Current HP: 1539, A Avg: 1156453, D Avg: 124745, [Big Bang[171, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 993: HP: 1723, STR: 371, VIT: 727, SPD: 31, LUK: 1, Attack: 138836, Defense: 84668, Current HP: 1723, A Avg: 1156503, D Avg: 118535, [Big Bang[171, 0, 0, 0], Dragon's Scales[215, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 992: HP: 1276, STR: 375, VIT: 305, SPD: 31, LUK: 2, Attack: 138842, Defense: 85923, Current HP: 1276, A Avg: 1156553, D Avg: 120292, [Big Bang[171, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 991: HP: 1660, STR: 375, VIT: 654, SPD: 31, LUK: 1, Attack: 138842, Defense: 86766, Current HP: 1660, A Avg: 1156553, D Avg: 121472, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 990: HP: 2640, STR: 375, VIT: 452, SPD: 31, LUK: 1, Attack: 138842, Defense: 86564, Current HP: 2640, A Avg: 1156553, D Avg: 121189, [Big Bang[171, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 989: HP: 1558, STR: 375, VIT: 1580, SPD: 31, LUK: 1, Attack: 138842, Defense: 89148, Current HP: 1558, A Avg: 1156553, D Avg: 124807, [Big Bang[171, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 988: HP: 1330, STR: 377, VIT: 323, SPD: 34, LUK: 1, Attack: 138845, Defense: 84563, Current HP: 1330, A Avg: 1156578, D Avg: 118388, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 987: HP: 1132, STR: 378, VIT: 482, SPD: 31, LUK: 2, Attack: 138847, Defense: 85320, Current HP: 1132, A Avg: 1156595, D Avg: 119447, [Big Bang[171, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Search Ring[317, 0, 0, 0]]
