Rank 1000: HP: 2088, STR: 1304, VIT: 122, SPD: 59, LUK: 1, Attack: 140236, Defense: 84466, Current HP: 2088, A Avg: 1168165, D Avg: 118252, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 999: HP: 2926, STR: 5664, VIT: 2361, SPD: 55, LUK: 1, Attack: 140238, Defense: 87589, Current HP: 2926, A Avg: 1168182, D Avg: 122624, [Stargazer[183, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 998: HP: 3021, STR: 5664, VIT: 2523, SPD: 55, LUK: 1, Attack: 140238, Defense: 87751, Current HP: 3021, A Avg: 1168182, D Avg: 122851, [Stargazer[183, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 997: HP: 3021, STR: 5664, VIT: 2382, SPD: 55, LUK: 1, Attack: 140238, Defense: 87610, Current HP: 3021, A Avg: 1168182, D Avg: 122653, [Stargazer[183, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 996: HP: 2486, STR: 3583, VIT: 1336, SPD: 63, LUK: 1, Attack: 140238, Defense: 87448, Current HP: 2486, A Avg: 1168182, D Avg: 122427, [Spectral Sword Shigure[172, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 995: HP: 1083, STR: 5836, VIT: 263, SPD: 55, LUK: 1, Attack: 140246, Defense: 84152, Current HP: 1083, A Avg: 1168249, D Avg: 117812, [Neural Edge[190, 0, 0, 0], Small Lion[219, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 994: HP: 1178, STR: 5836, VIT: 425, SPD: 55, LUK: 1, Attack: 140246, Defense: 84314, Current HP: 1178, A Avg: 1168249, D Avg: 118039, [Neural Edge[190, 0, 0, 0], Small Lion[219, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 993: HP: 1178, STR: 5836, VIT: 284, SPD: 55, LUK: 1, Attack: 140246, Defense: 84173, Current HP: 1178, A Avg: 1168249, D Avg: 117842, [Neural Edge[190, 0, 0, 0], Small Lion[219, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 992: HP: 1919, STR: 1311, VIT: 948, SPD: 70, LUK: 1, Attack: 140246, Defense: 84973, Current HP: 1919, A Avg: 1168249, D Avg: 118962, [Big Bang[171, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 991: HP: 1273, STR: 1314, VIT: 135, SPD: 59, LUK: 1, Attack: 140251, Defense: 84271, Current HP: 1273, A Avg: 1168290, D Avg: 117979, [Big Bang[171, 0, 0, 0], Magnum[237, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 990: HP: 1520, STR: 3596, VIT: 439, SPD: 90, LUK: 1, Attack: 140257, Defense: 84679, Current HP: 1520, A Avg: 1168340, D Avg: 118550, [Spectral Sword Shigure[172, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 989: HP: 2175, STR: 1320, VIT: 101, SPD: 55, LUK: 1, Attack: 140260, Defense: 84289, Current HP: 2175, A Avg: 1168365, D Avg: 118004, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 988: HP: 1606, STR: 1320, VIT: 91, SPD: 55, LUK: 2, Attack: 140260, Defense: 84279, Current HP: 1606, A Avg: 1168365, D Avg: 117990, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 987: HP: 2337, STR: 1326, VIT: 1070, SPD: 66, LUK: 1, Attack: 140269, Defense: 85310, Current HP: 2337, A Avg: 1168440, D Avg: 119433, [Big Bang[171, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 986: HP: 5225, STR: 5632, VIT: 2207, SPD: 66, LUK: 1, Attack: 140271, Defense: 86395, Current HP: 5225, A Avg: 1168457, D Avg: 120952, [Wild Card[175, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 985: HP: 1826, STR: 3606, VIT: 1566, SPD: 63, LUK: 1, Attack: 140272, Defense: 86560, Current HP: 1826, A Avg: 1168465, D Avg: 121183, [Spectral Sword Shigure[172, 0, 0, 0], Metalization[228, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 984: HP: 1121, STR: 3606, VIT: 346, SPD: 90, LUK: 1, Attack: 140272, Defense: 84352, Current HP: 1121, A Avg: 1168465, D Avg: 118092, [Spectral Sword Shigure[172, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 983: HP: 1102, STR: 3606, VIT: 3722, SPD: 90, LUK: 1, Attack: 140272, Defense: 89392, Current HP: 1102, A Avg: 1168465, D Avg: 125148, [Spectral Sword Shigure[172, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 982: HP: 1121, STR: 5860, VIT: 439, SPD: 90, LUK: 1, Attack: 140282, Defense: 85667, Current HP: 1121, A Avg: 1168549, D Avg: 119933, [Neural Edge[190, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 981: HP: 1877, STR: 8479, VIT: 1305, SPD: 66, LUK: 1, Attack: 140283, Defense: 89133, Current HP: 1877, A Avg: 1168557, D Avg: 124786, [White Snake[160, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 980: HP: 1919, STR: 9024, VIT: 1610, SPD: 66, LUK: 1, Attack: 140286, Defense: 89438, Current HP: 1919, A Avg: 1168582, D Avg: 125213, [Divine Dragon Sword[181, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 979: HP: 2120, STR: 3619, VIT: 763, SPD: 90, LUK: 1, Attack: 140292, Defense: 86875, Current HP: 2120, A Avg: 1168632, D Avg: 121624, [Spectral Sword Shigure[172, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 978: HP: 1092, STR: 3624, VIT: 258, SPD: 59, LUK: 1, Attack: 140299, Defense: 84394, Current HP: 1092, A Avg: 1168690, D Avg: 118151, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 977: HP: 1653, STR: 3624, VIT: 184, SPD: 59, LUK: 1, Attack: 140299, Defense: 84320, Current HP: 1653, A Avg: 1168690, D Avg: 118047, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 976: HP: 1121, STR: 3624, VIT: 184, SPD: 105, LUK: 1, Attack: 140299, Defense: 84320, Current HP: 1121, A Avg: 1168690, D Avg: 118047, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 975: HP: 1474, STR: 3624, VIT: 289, SPD: 59, LUK: 1, Attack: 140299, Defense: 84425, Current HP: 1474, A Avg: 1168690, D Avg: 118194, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 974: HP: 722, STR: 5875, VIT: 112, SPD: 94, LUK: 1, Attack: 140304, Defense: 84456, Current HP: 722, A Avg: 1168732, D Avg: 118238, [Neural Edge[190, 0, 0, 0], V Magnum[238, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 973: HP: 5415, STR: 5654, VIT: 1523, SPD: 59, LUK: 1, Attack: 140304, Defense: 88311, Current HP: 5415, A Avg: 1168732, D Avg: 123635, [Wild Card[175, 0, 0, 0], C Magnum[239, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 972: HP: 5510, STR: 5654, VIT: 1684, SPD: 59, LUK: 1, Attack: 140304, Defense: 88472, Current HP: 5510, A Avg: 1168732, D Avg: 123860, [Wild Card[175, 0, 0, 0], C Magnum[239, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 971: HP: 5510, STR: 5654, VIT: 1543, SPD: 59, LUK: 1, Attack: 140304, Defense: 88331, Current HP: 5510, A Avg: 1168732, D Avg: 123663, [Wild Card[175, 0, 0, 0], C Magnum[239, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 970: HP: 1584, STR: 1350, VIT: 270, SPD: 55, LUK: 1, Attack: 140305, Defense: 84458, Current HP: 1584, A Avg: 1168740, D Avg: 118241, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 969: HP: 2175, STR: 1356, VIT: 101, SPD: 59, LUK: 1, Attack: 140314, Defense: 84445, Current HP: 2175, A Avg: 1168815, D Avg: 118222, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 968: HP: 1606, STR: 1356, VIT: 91, SPD: 59, LUK: 2, Attack: 140314, Defense: 84435, Current HP: 1606, A Avg: 1168815, D Avg: 118208, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 967: HP: 1083, STR: 3635, VIT: 258, SPD: 59, LUK: 1, Attack: 140316, Defense: 84394, Current HP: 1083, A Avg: 1168832, D Avg: 118151, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 966: HP: 1083, STR: 3635, VIT: 289, SPD: 59, LUK: 1, Attack: 140316, Defense: 84425, Current HP: 1083, A Avg: 1168832, D Avg: 118194, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 965: HP: 1798, STR: 3635, VIT: 205, SPD: 59, LUK: 1, Attack: 140316, Defense: 84341, Current HP: 1798, A Avg: 1168832, D Avg: 118077, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 964: HP: 2109, STR: 1364, VIT: 651, SPD: 59, LUK: 1, Attack: 140326, Defense: 84787, Current HP: 2109, A Avg: 1168915, D Avg: 118701, [Big Bang[171, 0, 0, 0], Magnum[237, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 963: HP: 1520, STR: 3643, VIT: 922, SPD: 90, LUK: 1, Attack: 140328, Defense: 85916, Current HP: 1520, A Avg: 1168932, D Avg: 120282, [Spectral Sword Shigure[172, 0, 0, 0], Metalization[228, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 962: HP: 1102, STR: 3645, VIT: 195, SPD: 59, LUK: 2, Attack: 140331, Defense: 84331, Current HP: 1102, A Avg: 1168957, D Avg: 118063, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 961: HP: 2565, STR: 5727, VIT: 2033, SPD: 59, LUK: 1, Attack: 140332, Defense: 86169, Current HP: 2565, A Avg: 1168965, D Avg: 120636, [Stargazer[183, 0, 0, 0], Magnum[237, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 960: HP: 2086, STR: 1369, VIT: 948, SPD: 66, LUK: 1, Attack: 140333, Defense: 85448, Current HP: 2086, A Avg: 1168973, D Avg: 119627, [Big Bang[171, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 959: HP: 953, STR: 5897, VIT: 273, SPD: 55, LUK: 1, Attack: 140337, Defense: 84279, Current HP: 953, A Avg: 1169007, D Avg: 117990, [Neural Edge[190, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 958: HP: 1048, STR: 5897, VIT: 435, SPD: 55, LUK: 1, Attack: 140337, Defense: 84441, Current HP: 1048, A Avg: 1169007, D Avg: 118217, [Neural Edge[190, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 957: HP: 1048, STR: 5897, VIT: 294, SPD: 55, LUK: 1, Attack: 140337, Defense: 84300, Current HP: 1048, A Avg: 1169007, D Avg: 118019, [Neural Edge[190, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 956: HP: 1910, STR: 5897, VIT: 340, SPD: 66, LUK: 1, Attack: 140337, Defense: 87128, Current HP: 1910, A Avg: 1169007, D Avg: 121979, [Neural Edge[190, 0, 0, 0], C Magnum[239, 0, 0, 0], Endpoint[318, 0, 0, 0]]
