Rank 1000: HP: 1585, STR: 8061, VIT: 1469, SPD: 72, LUK: 1, Attack: 140908, Defense: 86697, Current HP: 1585, A Avg: 1173763, D Avg: 121375, [Blue Sword[180, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 999: HP: 1133, STR: 6888, VIT: 377, SPD: 72, LUK: 1, Attack: 140909, Defense: 88205, Current HP: 1133, A Avg: 1173771, D Avg: 123486, [Tekken[188, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 998: HP: 1330, STR: 6278, VIT: 593, SPD: 68, LUK: 1, Attack: 140909, Defense: 85457, Current HP: 1330, A Avg: 1173771, D Avg: 119639, [Neural Edge[190, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 997: HP: 1250, STR: 6278, VIT: 661, SPD: 72, LUK: 1, Attack: 140909, Defense: 85083, Current HP: 1250, A Avg: 1173771, D Avg: 119116, [Neural Edge[190, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 996: HP: 2299, STR: 1761, VIT: 698, SPD: 68, LUK: 1, Attack: 140921, Defense: 85042, Current HP: 2299, A Avg: 1173871, D Avg: 119058, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 995: HP: 1662, STR: 4052, VIT: 1024, SPD: 103, LUK: 1, Attack: 140941, Defense: 87825, Current HP: 1662, A Avg: 1174038, D Avg: 122954, [Spectral Sword Shigure[172, 0, 0, 0], Riot[236, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 994: HP: 988, STR: 8422, VIT: 910, SPD: 68, LUK: 1, Attack: 140943, Defense: 85046, Current HP: 988, A Avg: 1174055, D Avg: 119064, [Zodiac[184, 0, 0, 0], Magnum[237, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 993: HP: 6175, STR: 6087, VIT: 3096, SPD: 63, LUK: 1, Attack: 140954, Defense: 90924, Current HP: 6175, A Avg: 1174146, D Avg: 127293, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 992: HP: 1080, STR: 8098, VIT: 1063, SPD: 68, LUK: 1, Attack: 140964, Defense: 88891, Current HP: 1080, A Avg: 1174230, D Avg: 124447, [God Hand[179, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 991: HP: 1514, STR: 4067, VIT: 408, SPD: 103, LUK: 1, Attack: 140964, Defense: 84414, Current HP: 1514, A Avg: 1174230, D Avg: 118179, [Spectral Sword Shigure[172, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 990: HP: 3401, STR: 6151, VIT: 2780, SPD: 76, LUK: 1, Attack: 140968, Defense: 87124, Current HP: 3401, A Avg: 1174263, D Avg: 121973, [Stargazer[183, 0, 0, 0], V Magnum[238, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 989: HP: 817, STR: 6323, VIT: 213, SPD: 63, LUK: 1, Attack: 140976, Defense: 84076, Current HP: 817, A Avg: 1174330, D Avg: 117706, [Neural Edge[190, 0, 0, 0], Small Sword[218, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 988: HP: 912, STR: 6323, VIT: 396, SPD: 63, LUK: 1, Attack: 140976, Defense: 84259, Current HP: 912, A Avg: 1174330, D Avg: 117962, [Neural Edge[190, 0, 0, 0], Small Sword[218, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 987: HP: 912, STR: 6323, VIT: 234, SPD: 63, LUK: 1, Attack: 140976, Defense: 84097, Current HP: 912, A Avg: 1174330, D Avg: 117735, [Neural Edge[190, 0, 0, 0], Small Sword[218, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 986: HP: 1368, STR: 1798, VIT: 150, SPD: 68, LUK: 1, Attack: 140977, Defense: 84494, Current HP: 1368, A Avg: 1174338, D Avg: 118291, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 985: HP: 1036, STR: 6329, VIT: 395, SPD: 68, LUK: 1, Attack: 140985, Defense: 84895, Current HP: 1036, A Avg: 1174405, D Avg: 118852, [Neural Edge[190, 0, 0, 0], Hard Wings of Beast[222, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 984: HP: 2299, STR: 1810, VIT: 698, SPD: 63, LUK: 1, Attack: 140995, Defense: 84886, Current HP: 2299, A Avg: 1174488, D Avg: 118840, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 983: HP: 2394, STR: 8668, VIT: 2025, SPD: 76, LUK: 1, Attack: 141003, Defense: 89853, Current HP: 2394, A Avg: 1174554, D Avg: 125794, [Impulse[166, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 982: HP: 2850, STR: 6177, VIT: 2292, SPD: 63, LUK: 2, Attack: 141007, Defense: 90120, Current HP: 2850, A Avg: 1174588, D Avg: 126167, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 981: HP: 1368, STR: 1820, VIT: 150, SPD: 63, LUK: 1, Attack: 141010, Defense: 84338, Current HP: 1368, A Avg: 1174613, D Avg: 118073, [Big Bang[171, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 980: HP: 3591, STR: 6193, VIT: 3102, SPD: 80, LUK: 1, Attack: 141031, Defense: 87238, Current HP: 3591, A Avg: 1174788, D Avg: 122133, [Stargazer[183, 0, 0, 0], Magnum[237, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 979: HP: 1178, STR: 4113, VIT: 184, SPD: 68, LUK: 2, Attack: 141033, Defense: 84320, Current HP: 1178, A Avg: 1174804, D Avg: 118047, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 978: HP: 4712, STR: 6204, VIT: 3945, SPD: 68, LUK: 1, Attack: 141048, Defense: 90733, Current HP: 4712, A Avg: 1174929, D Avg: 127026, [Stargazer[183, 0, 0, 0], C Magnum[239, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 977: HP: 1558, STR: 7507, VIT: 1558, SPD: 76, LUK: 1, Attack: 141052, Defense: 89386, Current HP: 1558, A Avg: 1174963, D Avg: 125140, [Moon Knuckle[153, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 976: HP: 1330, STR: 6374, VIT: 1071, SPD: 68, LUK: 1, Attack: 141053, Defense: 87872, Current HP: 1330, A Avg: 1174971, D Avg: 123020, [Neural Edge[190, 0, 0, 0], Riot[236, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
