Rank 1000: HP: 440, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 83980, Current HP: 440, A Avg: 8595801, D Avg: 117571, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 999: HP: 440, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 83990, Current HP: 440, A Avg: 8595801, D Avg: 117585, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 998: HP: 418, STR: 602605, VIT: 280, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84149, Current HP: 418, A Avg: 8595801, D Avg: 117808, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 997: HP: 418, STR: 602605, VIT: 287, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84091, Current HP: 418, A Avg: 8595801, D Avg: 117727, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 996: HP: 418, STR: 602605, VIT: 278, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84141, Current HP: 418, A Avg: 8595801, D Avg: 117797, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 995: HP: 418, STR: 602605, VIT: 300, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84189, Current HP: 418, A Avg: 8595801, D Avg: 117864, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 994: HP: 440, STR: 602605, VIT: 284, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84160, Current HP: 440, A Avg: 8595801, D Avg: 117823, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 993: HP: 475, STR: 602605, VIT: 295, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84132, Current HP: 475, A Avg: 8595801, D Avg: 117784, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 992: HP: 500, STR: 602605, VIT: 275, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84047, Current HP: 500, A Avg: 8595801, D Avg: 117665, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 991: HP: 540, STR: 602605, VIT: 284, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84303, Current HP: 540, A Avg: 8595801, D Avg: 118024, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 990: HP: 494, STR: 602605, VIT: 289, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84217, Current HP: 494, A Avg: 8595801, D Avg: 117903, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 989: HP: 596, STR: 602605, VIT: 319, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84881, Current HP: 596, A Avg: 8595801, D Avg: 118833, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 988: HP: 516, STR: 602605, VIT: 278, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84206, Current HP: 516, A Avg: 8595801, D Avg: 117888, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 987: HP: 440, STR: 602605, VIT: 626, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87414, Current HP: 440, A Avg: 8595801, D Avg: 122379, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 986: HP: 1482, STR: 602605, VIT: 269, SPD: 7, LUK: 1, Attack: 1031909, Defense: 86186, Current HP: 1482, A Avg: 8595801, D Avg: 120660, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 985: HP: 744, STR: 602605, VIT: 348, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85082, Current HP: 744, A Avg: 8595801, D Avg: 119114, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 984: HP: 620, STR: 602605, VIT: 319, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85794, Current HP: 620, A Avg: 8595801, D Avg: 120111, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 983: HP: 608, STR: 602605, VIT: 356, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85324, Current HP: 608, A Avg: 8595801, D Avg: 119453, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 982: HP: 532, STR: 602605, VIT: 485, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87325, Current HP: 532, A Avg: 8595801, D Avg: 122254, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 981: HP: 560, STR: 602605, VIT: 332, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87757, Current HP: 560, A Avg: 8595801, D Avg: 122859, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 980: HP: 418, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87046, Current HP: 418, A Avg: 8595801, D Avg: 121864, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 979: HP: 418, STR: 602605, VIT: 423, SPD: 7, LUK: 1, Attack: 1031909, Defense: 90201, Current HP: 418, A Avg: 8595801, D Avg: 126281, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 978: HP: 893, STR: 602605, VIT: 704, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87492, Current HP: 893, A Avg: 8595801, D Avg: 122488, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 977: HP: 703, STR: 602605, VIT: 344, SPD: 8, LUK: 1, Attack: 1031909, Defense: 86222, Current HP: 703, A Avg: 8595801, D Avg: 120710, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 976: HP: 737, STR: 602605, VIT: 430, SPD: 7, LUK: 1, Attack: 1031909, Defense: 86646, Current HP: 737, A Avg: 8595801, D Avg: 121304, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 975: HP: 840, STR: 602605, VIT: 705, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87740, Current HP: 840, A Avg: 8595801, D Avg: 122835, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 974: HP: 440, STR: 602605, VIT: 356, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87404, Current HP: 440, A Avg: 8595801, D Avg: 122365, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 973: HP: 440, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 83980, Current HP: 440, A Avg: 8595801, D Avg: 117571, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 972: HP: 440, STR: 602605, VIT: 257, SPD: 7, LUK: 1, Attack: 1031909, Defense: 83990, Current HP: 440, A Avg: 8595801, D Avg: 117585, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 971: HP: 418, STR: 602605, VIT: 280, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84149, Current HP: 418, A Avg: 8595801, D Avg: 117808, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 970: HP: 418, STR: 602605, VIT: 287, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84091, Current HP: 418, A Avg: 8595801, D Avg: 117727, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 969: HP: 418, STR: 602605, VIT: 278, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84141, Current HP: 418, A Avg: 8595801, D Avg: 117797, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 968: HP: 418, STR: 602605, VIT: 300, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84189, Current HP: 418, A Avg: 8595801, D Avg: 117864, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 967: HP: 440, STR: 602605, VIT: 284, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84160, Current HP: 440, A Avg: 8595801, D Avg: 117823, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 966: HP: 475, STR: 602605, VIT: 295, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84132, Current HP: 475, A Avg: 8595801, D Avg: 117784, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 965: HP: 500, STR: 602605, VIT: 275, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84047, Current HP: 500, A Avg: 8595801, D Avg: 117665, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 964: HP: 540, STR: 602605, VIT: 284, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84303, Current HP: 540, A Avg: 8595801, D Avg: 118024, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 963: HP: 494, STR: 602605, VIT: 289, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84217, Current HP: 494, A Avg: 8595801, D Avg: 117903, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 962: HP: 596, STR: 602605, VIT: 319, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84881, Current HP: 596, A Avg: 8595801, D Avg: 118833, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 961: HP: 516, STR: 602605, VIT: 278, SPD: 7, LUK: 1, Attack: 1031909, Defense: 84206, Current HP: 516, A Avg: 8595801, D Avg: 117888, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 960: HP: 440, STR: 602605, VIT: 626, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87414, Current HP: 440, A Avg: 8595801, D Avg: 122379, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 959: HP: 1482, STR: 602605, VIT: 269, SPD: 7, LUK: 1, Attack: 1031909, Defense: 86186, Current HP: 1482, A Avg: 8595801, D Avg: 120660, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 958: HP: 744, STR: 602605, VIT: 348, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85082, Current HP: 744, A Avg: 8595801, D Avg: 119114, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 957: HP: 620, STR: 602605, VIT: 319, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85794, Current HP: 620, A Avg: 8595801, D Avg: 120111, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 956: HP: 608, STR: 602605, VIT: 356, SPD: 7, LUK: 1, Attack: 1031909, Defense: 85324, Current HP: 608, A Avg: 8595801, D Avg: 119453, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 955: HP: 532, STR: 602605, VIT: 485, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87325, Current HP: 532, A Avg: 8595801, D Avg: 122254, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 954: HP: 560, STR: 602605, VIT: 332, SPD: 7, LUK: 1, Attack: 1031909, Defense: 87757, Current HP: 560, A Avg: 8595801, D Avg: 122859, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
